place,info,문의 및 안내,주소,주차,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,접근로,출입통로,review,영업시간,휴일,대표메뉴,취급메뉴,홈페이지,이용시간,지정현황,입장료,체험가능 연령,화장실,체험 프로그램,이용 시기,주차 요금,이용요금,주요시설,장애인 주차 안내,지체장애 기타 상세,식음료장,부대시설,엘리베이터,객실,유아용보조의자,휠체어,수용인원,규모,수유실,판매 품목,시설이용료,체험프로그램,바비큐장여부,노래방 여부,세미나실 여부,유모차,점자 홍보물,"영유아가족
기타상세",이용가능시설,좌석수,주차요금,대중 교통,오디오 가이드,시각장애 기타상세
독무재,"독무재는 벼슬도 마다하고 향리에 은거하며 후진 양성에 전념한 하시찬을 추모하기 위해 그의 문인과 유림들이 힘을 모아 건립한 추모 재실이다. 하시찬은 1750년 지금의 대구 수성구 만촌동에서 태어나 당대의 석학이던 김경호, 송성담의 문하에서 수학하였다. 지금의 독무재가 있는 곳에서 서쪽으로 떨어진 곳에 독무암루를 짓고 후학을 양성하였고, 팔례절요 2권을 저술하기도 하였다. 원래 동구 효목동 경북주유소 부근 경부선 철로 변에 있었으나 대구시 3차 우회도로가 개설되면서 1968년 4월에 지금의 자리로 이건 되었다. 이건 시 독무재 서남쪽에 별도의 담장을 두고 사당인 경덕사와 팔례절요와 열암문집 판각이 보관된 장판각을 새로 지었다. 주변으로 동촌파크광장놀이공원과 국리대구기상과학관, 아양아트센터, 망우단공원 등이 있어 함께 둘러볼 만 하다.",,대구광역시 수성구 화랑로42길 31,불가능,,,,,,,,,,※ 자세한 사항은 전화문의 요망,,,https://www.suseong.kr/tour,※ 자세한 사항은 전화문의 요망,대구광역시 문화유산자료 독무재 (1989.06.15. 지정),무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달성 현풍 석빙고,"현풍석빙고는 얼음을 저장하기 위해 돌을 쌓아 만든 창고이다. 남북으로 길게 축조되어 있으며, 출입구가 개울을 등진 능선 쪽에 마련된 남향구조이다. 돌의 재질은 모두 화강암으로 외부에서 보면 고분처럼 보인다. 입구는 길쭉한 돌을 다듬어 사각의 문틀을 만든 후 외부공기를 막기 위해 돌로 뒷벽을 채웠다. 외부는 돌을 쌓고 점토로 다져서 흙을 쌓아 올렸다. 잘 다듬어진 돌로 벽과 천장을 쌓았는데 천장에는 무지개 모양의 홍예(虹霓)를 네 개를 틀어 올리고 그 사이사이에 길고 큰 돌을 얹어 아치형을 이루게 하였다. 천장에는 통풍을 위한 환기구가 두 군데 설치되었고 빗물에 대비한 뚜껑이 있다. 바닥은 평평한 돌을 깔고 중앙에 배수구를 두었다. 당시에는 얼음창고가 마을마다 설치된 것이 아니었음에도 불구하고, 규모가 작은 현풍고을에 이러한 석빙고가 만들어진 것은 주목할 만한 일이다. 1982년 석빙고 주위의 보수작업 때 축조 년대를 알려주는 건성비(建城碑)가 발견됨으로써 1730년에 만들어진 것임을 알게 되었다.",,대구광역시 달성군 현풍읍 상리,가능,,,,,,,,,,연중무휴,,,https://www.dalseong.daegu.kr/culture/,상시 개방,보물 달성 현풍 석빙고 (1980.09.16. 지정),무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수성구민운동장,"수성구민운동장은 구민 건강의 지킴이 역할을 하는 운동장이다. 2001년 7월 천연 잔디와 특수조명시설, 샤워장, 탈의실 등의 부대시설 공사를 마치고 2002년 월드컵 축구 공식연습구장으로 사용되었고 2003년 하계유니버시아드대회 경기장으로도 지정되었다. 운동장 내 수성구생활체육협의회를 비롯한 다섯 개 단체의 사무실과 게이트볼장이 있으며 인근에 어린이회관, 궁도장, 범어공원 내 문화산책로 등이 있어 시민들의 체력증진 및 각종 생활체육 행사의 장으로 이용되고 있다.",,대구광역시 수성구 동대구로50길 121-7,,,,,,,,,,,,,,https://www.suseong.kr/,상시 개방,,,,,,,,※ 시설에 따라 상이하므로 자세한 사항은 홈페이지 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,
고모역복합문화공간,"고모역은 지역민의 향수와 추억, 시대의 애환과 사연을 담고 있는 장소이며, 역사, 문화가 살아 숨 쉬는 공간이다. 고모역복합문화공간에서는 단절된 폐역사를 살아있는 역사로 재생하여 고모역의 의미를 재발견하고 새로운 문화적 가치를 창조하고자 한다. 세대와 세대를 이어주는 의미 있는 장소로써 어른들에게는 향수를, 아이들에게는 역사를 되돌아보며 미래를 이야기하는 문화의 플랫폼이다. 고모뮤지엄은 역사관과 문화관으로 나누어져 있어 세대를 아우를 수 있는 공간으로 이루어져 있다. 고모역에는 추억과 풍경을 즐길 수 있는 가든과 산책로가 있어 경치를 보며 가볍게 걷기에도 좋다. 포토존도 마련되어 있으니 가족과 친구와 함께 방문해 추억을 남길 수도 있다.",,대구광역시 수성구 고모로 208,가능,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,"매년 3월 말이면 고모역 벚꽃을 감상하기 위해 방문합니다. 고모로 벚꽃 가로수길을 지나 고모역 복합문화공간에 다다르면 100년의 시간을 간직한 고풍스런 고모역 옛 역사와 긴 세월 자리를 지키고 있는 장대한 벚꽃 나무가 어우러진 운치있는 풍경을 즐길수 있습니다. 간이기차 모형이 있는 포토존에서 사진도 찍고, 고모역에 대한 역사와 대구의 철도 변천사에 관해 설명이 잘 전시되어 있었습니다. 느린 우체통 체험과 기념으로 가져갈 수 있는 기차표 체험 등 소소한 체험들이 아이들이 즐거워했고요, 전시된 유니폼을 입고 고모역을 배경으로 사진을 찍을 수 있을 수 있는 역무원 체험이 가장 좋았습니다. 이팝나무 가득한 도로를 지나면 자그마한 간이역이 나옵니다. 마치 시간여행을 하는 듯한 과거로의 여행의 정취를 느낄수 있었습니다. 생기있는 봄날 즐거운 추억이었습니다^^",,매주 월요일 / 1월 1일 / 설·추석 연휴,,,http://www.gomo.or.kr/,"[하절기(4월~11월)]
10:00~18:00
[동절기(12월~3월)]
10:00~17:30",,,,,,,,무료,,장애인 주차장 있음_무장애 편의시설,,,,,,,,,,,,,느린우체통 / 그림 그리기 / 역무원 체험 등,,,,,,,,,,,,
서남신시장,"서남신시장은 대구광역시 달서구에 위치한 전통시장으로 먹거리부터 농산물, 수산물, 축산물, 과일 등 다양한 품목을 판매하고 있다. 시장으로 들어가게 되면 양쪽으로 줄지어 있는 가게들 모습을 볼 수 있다. 입구 근처는 분식점들이 늘어서 있고, 조금 걷다 보면 과일가게, 과일이 있는 곳에서 더 들어가게 되면 해산물과 정육점 가게들이 나온다. 직접 눈으로 보고 신선한 제품을 골라 구매할 수 있으며, 그 자리에서 바로 손질을 해준다.",,대구광역시 달서구 달구벌대로329길 10 (감삼동),"가능
요금 (최초 30분 500원 / 초과 시 10분마다 300원)",,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,맛있는 분식집과 유명한 족발집이 즐비한 시장! 저렴한 가격에 장을 볼수 있고 품질 좋은 과일까지 많은 사람 사는 냄새가 나는 시장! 그리고 회도 싸고 맛있어요. 추천합니다. 대구 갈때마다 들리는 서남시장!!! 시장안에 맛집이 많아요 김주연족발이랑 바우떡볶이는 최애맛집♡♡ 한달에 한번은 꼭 방문하게 되는 맛있는 먹거리와 사람사는 냄새가 나는 시장이예요~ 특히 호떡이 정말 맛있는데 사장님 인심도 좋으시고 맛좋아요! 주차도 편리하고 시장내에 소소한 행사거리도 많아서 애들 데리고 가기 참 좋았어요 다음 방문에 또 봐요 서문시장!,,점포 별로 상이함,,,,점포 별로 상이함,,,,,,,,,,,,,,,,,,,,,농산물 / 수산물 / 축산물 / 과일 / 생활용품 등,,,,,,,,,,,,,,
팔공 에밀리아호텔,"팔공 에밀리아 호텔은 수려한 자연 경관 속에서 평화로운 휴식을 제공하기 위해 품격 있는 객실을 갖추고 있다. 다양한 규모의 연회장과 세미나실을 비롯해 갤러리, 카페, 레스토랑, 펍, 노래방 등의 편의시설을 운영하고 있다. 모든 공간은 비즈니스 행사, 가족 모임, 예식 등 다양한 목적의 행사에 적합하도록 구성되어 있다. 고객의 편안함을 최우선으로 고려한 설계와 서비스로 쾌적한 이용 환경을 제공한다. 자연과 어우러진 고급 시설에서 휴식과 행사를 모두 만족시킬 수 있다.",,대구광역시 동구 팔공산로 1121,가능,14:00,12:00,불가,38실,"양실, 한실",,,,,,,,http://www.emillia.co.kr/,,,,,,,,,,,,,레스토랑 / 카페 / 펍,연회장 / 웨딩홀 / 갤러리 / 노래방,,,,,,,,,,,있음,있음,있음,,,,,,,,,
엑스코(EXCO),"전시컨벤션을 통해 지역 중소기업 수출을 지원하고 지역 경제의 활성화를 목적으로 설립된 엑스코는 경제와 산업·문화·예술을 담아내는 국제 경쟁력을 갖춘 전시컨벤션센터로 자리매김하고 있다. 연간 1,000회 이상의 행사가 개최되는 엑스코는 매머드급 국제전시회와 국제회의는 물론 중소 규모 회의와 기업행사 등 이벤트에 이르기까지 다양한 규모와 성격의 전시·컨벤션 행사를 성공적으로 개최하고 있다. 또한 일반 방문객을 위한 다양한 부대사업도 운영하고 있다.",,대구광역시 북구 엑스코로 10 (산격동),가능,,,,,,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),제1회 북구.강북자율방범 연합대 한마음 워크샵 캠페어 구경왔어요~ 캠핑 메니아로서 이런 행사 너무 좋아요~ 캠핑레저차량박람회 왔어요 다양한 캠핑용품과 간시거리 구경하며 즐기고있습니다 화장실사용이 편해서 더 좋으네요 건축바람회 다녀왔습니다. 몇년뒤 새집 지을 계획이 있어서 좋은정보 많은도움이 되었습니다. 콘서트 공연있어서 엑스코 방문했는데 안에 넓고 좋아요~ 좌석 컨디션도 좋고 무대도 잘 보입니다. 안에 볼거리도 꽤 많아서 여기저기 구경하다가 시간 가는줄 몰랐네요 ㅎㅎ 박람회기간에 콘서트 있으면 꼭 방문해보세요! 전시회 보러 방문했는데 시설도 크고 주차공간이 넓어서 실내데이트 하기 딱 좋았어요 볼 일 있어서 왔는데 늘 좋으네요. 박람회 공연있을때 방문ㅈ두천해요,,※ 행사 별로 상이하므로 홈페이지 참조,,,https://www.exco.co.kr,※ 행사 별로 상이하므로 홈페이지 참조,,,,장애인 전용 화장실 있음,,,,※ 행사 별로 상이하므로 홈페이지 참조,,장애인 전용 주차구역 있음(지하1~4층)_무장애 편의시설,,,,장애인용 엘리베이터 있음,,,안내데스크 무료 대여(전시2홀 입구 옆),,,수유실 있음(본관 3층),,,,,,,안내데스크 무료 대여(전시2홀 입구 옆),점자안내판 있음(입구근처),,,,,,,
낙빈서원,"낙빈서원은 단종의 복위에 목숨을 바친 하위지, 박팽년 이개, 성삼문, 유성원, 유응부를 배향한 서원이다. 본래 충정공 박팽년의 위패를 봉안한 하빈사가 있어 후손들이 향사를 지내왔는데, 현손인 박계창이 사당 밖에서 사육신 여섯 분이 서성거리는 꿈을 꾼 후 깨달은 바가 있어 사육신 여섯분을 함께 모시고 제향하게 되었다. 1691년에는 별묘와 강당을 건립하여 낙빈서원을 창건하였는데, 3년 후 숙종으로부터 사액을 하사 받아 사액서원이 되었다. 흥선 대원군 집권기인 1871년 훼철되었으나 일제강점기인 1924년 문중에서 원래 터보다 위쪽인 현 위치에 강당만 중건하였고, 사당은 세우는데 어려움이 있어 서원의 모습보다는 문중의 재사와 비슷한 모습으로 사용되었다. 1970년대에 후손들이 모여사는 묘골마을에 육신사가 세워지면서, 사육신의 위패를 옮겨 봉안하고 매년 춘추절 향사도 지내게 되었다. 이로 인해 낙빈서원은 현재 재실로 사용되고 있다. 서당에서 출발한 교육 기능 중심의 서원과는 달리 조상을 모시던 사당에서 출발한 조선 후기 서원의 전형적인 특징을 잘 보여주고 있다. 사육신을 모신 서원은 전국에 여러 곳 있었는데 단종의 능이 있는 영월 창절사가 서원철폐령 때 훼철되지 않고 남아 있다.",,대구광역시 달성군 하빈면 묘동4길 21,가능,,,,,,,,비 오는 날 방문했어요. 물기 머금은 숲길을 걷다보면 소박한 건물이 나와요. 조용하고 운치있어요~,,연중무휴,,,,"상시 개방
※ 자세한 사항은 전화문의 요망",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인흥서원,"인흥서원은 대구 달성군 화원읍 본리리에 소재하고 있다. 추계 추씨의 중시조이며 고려 충렬왕 때의 문신인 노당 추적을 봉안한 서원으로 노당이 편저한 명심보감 판본을 소장하고 있다. 유주목이 지은 인흥서원기에 따르면, 1853년에 후손들이 500여 년 간 실전되었던 추계 추씨 노당 추적의 묘를 찾아 수습한 뒤, 1866년 묘 아래 사우를 지어 추계 추씨의 시조이자 추적의 아버지 추황의 위패를 주향으로 모시고, 추적과 그의 손자 추유, 추유의 5세손 추수경을 합향하였다. 대원군의 서원 철폐령으로 훼철된 뒤 1938년에 복원하여 매년 음력 3월 중정일과 10월 3일에 춘추 향사를 봉행하며 오늘에 이르고 있다. 서원의 건물은 강당, 동재와 서재, 사당인 문현사, 신도비각, 장판각으로 구성되어 있다. 강당은 정면 다섯 칸, 측면 두 칸의 팔작지붕이다. 문현사는 정면 세 칸, 측면 두 칸의 맞배지붕이며 동서재는 각 정면 세 칸, 측면 한 칸 반의 규모이다. 장판각에는 명심보감, 조군영적지, 추계가승, 추계가승속편 추계가승집록,등의 책판이 소장되어 있다.",,대구광역시 달성군 화원읍 인흥2길 26,가능,,,,,,,,,,연중무휴,,,,"상시 개방
※ 자세한 사항은 전화문의 요망",,무료,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
육신사,"육신사는 조선 세조 때 사육신으로 일컫는 박팽년, 성삼문, 이개, 유성원, 하위지, 유응부 등의 위패를 모신 사당이다. 처음 사당을 지을 때는 박팽년(醉琴軒 朴彭年) 선생만을 모셔 제사 지냈으나, 선생의 현손인 박계창이 선생의 기일에 사육신이 사당 문밖에서 서성거리는 꿈을 꾼 후로 나머지 5위의 향사도 함께 지내게 되었다고 전해진다. 1691년 낙빈사를 지어 이들을 봉안하고 제사 지냈으나, 서원 철폐령으로 낙빈사가 서원과 함께 철거되었으며, 1924년 낙빈서원이 재건되면서 위패를 다시 봉안하게 되었다. 1974년부터 1975년 사이 '충효 위인 유적정화사업'에 의해 현재의 위치에 육신사로 이름을 붙여 재건하였고, 2003년부터 2011년에 걸쳐 충절문을 세우고 건물을 복원하였다. 이후 향사는 육신사에서 지내고 있다. 현재 육신사에는 숭정당, 숭절당, 사랑채, 외삼문, 내삼문 등의 건물과 달성 태고정과 태고정 안채 등이 남아 있다. 달성 태고정은 1479년 박일산이 태건립한 것으로 종택에 딸린 별당 건물이다.",,대구광역시 달성군 하빈면 육신사길 64,가능,,,,,,,,"근처에 있는 카페도 정말 예쁘고 마을 자체가 평온해서 힐링하러 가기 좋은 것 같아요. 너무 더울 때 가서 안까지 돌아다니면서 다 둘러보진 못했고, 마을을 차로 한 바퀴 돌았는데 초록초록 푸른 배경들이 넘 좋았네요. 7~9월에는 배롱나무꽃이 핀다고 해서 그때 한번 더 가볼 예정입니다. 큰 기대없이 산책하러, 힐링하러 가면 너무 좋아요. 근교에 놀러겄다 산책하고 왔네요 잘관리되어 카페도 가보기 좋아요 ㅎㅎ 지난주에 친구덕분에 육신사에 다녀왔어요~ 사육신 사당이 달성군에 있는지 처음 알았답니다. 조용하고 나무도 많아서 힐링하고 왔어요~ 초입에 위치한 카페에서 흑임자라테를 마셨는데 정말 맛좋았어요!^^ 큰 기대없이 조용한 곳 찾는다면 좋은 장소 같아요 바로 입구에 있는 카페가 아주 근사해서 같이 들르면 좋을거 같아요 오늘 다녀왔는데 이쁜 꽃들도 많고 푸릇푸릇한 경치랑 맑은 하늘이 어우러져서 마음이 안정되고 사육신 기념관도 설명을 친절히 해주셔서 좋았어요~",,※ 자세한 사항은 전화문의 요망,,,,"09:00~18:00
※ 자세한 사항은 전화문의 요망",,무료,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달성 삼가헌 고택,"달성 삼가헌은 사육신의 한 분인 충정공 박팽년의 자손들이 정착하여 살고 있는 박씨마을 묘골과 낮은 산 하나를 경계로 하여 자리 잡은 조선시대의 주택이다. 넓은 터에 대문간채, 사랑채, 안채, 별당, 연못이 배치되어 있다. 박팽년의 11대 손인 성수가 1769년에 이곳에 초가를 짓고 자신의 호를 현판으로 걸어 삼가헌이라 이름 지었으며 그 뒤 그의 아들 광석이 1783년 이웃하고 있는 묘골에서 현재 위치로 분가한 다음 1826년 초가를 헐고 안채와 사랑채를 지었다. 대문을 들어서면 바로 보이는 건물이 사랑채이며, 안채는 사랑채를 거쳐야 출입을 할 수 있다. 안채와 사랑채는 대략 트인 'ㅁ자형'의 구조를 하고 있으며 안채로 드나드는 중문채와 곳간으로 연결이 되어있다. 사랑채와 안채 사이의 서쪽으로 장독대, 곳간채, 안변소가 자리 잡고 있다. 삼가헌의 백미, 별당인 하엽정은 연꽃잎의 정자라는 뜻으로 1826년 집을 지을 당시 많은 흙을 파낸 자리에 박광석의 손자 규현이 1874년에 연못으로 꾸며 연을 심고 파산서당을 앞으로 옮겨 지으면서 누마루를 한 칸을 늘여 현재의 모습으로 건축하였다. 원래 서당으로 쓰던 곳이라 하엽정이라는 현판과 함께 방앞 처마에는 파산서당 편액을 같이 볼 수 있다. 연못은 앞쪽으로 길게 뻗은 직사각형이고 가운데 원형 섬을 두고 섬까지는 외나무다리가 있다. 여름철 연못에 연꽃이 피고 주변 배롱나무에 꽃이 피기 시작하면 아름다운 풍광이 삼가헌을 더욱 돋보이게 한다. 전체적으로 조선 중기에 건축된 지방 양반가의 특징을 잘 남긴 주택이다.",,대구광역시 달성군 하빈면 묘리,불가능,,,,,,,,한국 정원의 아름다움을 보여주는 곳이예요.,,연중무휴,,,국가유산청 https://www.heritage.go.kr,"상시 개방
※ 주민들이 실제 거주하는 곳으로 야간 방문 주의 요망",국가민속문화유산 달성 삼가헌 고택 (1979.12.31. 지정),무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사효자굴,"대구광역시 달성군 유가읍 비슬산 중턱에는 사효자굴이라는 글자가 새겨진 굴이 있다. 사효자굴이란, 네 명의 효자가 있던 굴이란 뜻으로 사효굴이라고도 불린다. 임진왜란 때, 곽재우의 종형인 곽 재훈과 아들 사형제 결, 청, 형, 호가 그 굴로 피난을 가서 굴에 숨게 되었는데, 천망병을 앓던 아버지의 기침소리를 들은 왜병이 찾아와 위협을 가하자 효성이 지극한 아들들이 차례로 나아가 죽음을 당하였다. 마침내 왜병들도 그들의 깊은 효심에 감동하여 4효자의 아버지(四孝子之父)라고 칭송하였다. 아버지인 곽재훈의 등에 효자의 아버지이니 해치지 말라는 글을 쓰고 놓아주었고, 이후 다른 왜적들도 다시는 손을 대지 못하였다. 임진왜란이 끝나고 이 일이 알려지자 조정에서 네 아들의 효성을 기려 정려각을 내렸으며, 1882년 곽재훈의 9세손 곽주곤이 굴의 벽에 사효자굴이라는 글자를 새겨 지금까지도 사형제의 효심이 전해지고 있다. 사효자굴은 네 개의 큰 바위가 서로를 의지하여 받치고 있는 형상이며 그 가운데 생긴 공간이 굴의 형태를 보인다. 최근에 돌계단과 나무로 된 데크가 설치되어 올라가 볼 수 있다. 달성군에서는 2016년 아버지를 위해 목숨을 바친 네 아들의 효성을 기리기 위해 사효굴로 진입하는 입구에 네 아들이 아버지를 보호하고 있는 형상의 조형물을 설치하였다.",,대구광역시 달성군 유가읍 양리,불가능,,,,,,,,,,연중무휴,,,,상시 개방,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남지장사,"남지장사는 최정산 남쪽 산기슭에 자리하고 있는 대한 불교 조계종 제9교구 본사인 동화사의 말사이다. 684년에 양개 조사(陽价祖師)가 창건한 것으로 전해지며, 현재까지 1300년 이상 지장보살님을 모시고 있는 역사와 전통을 자랑하는 유서 깊은 사찰이다. 남지장사는 1592년 임진왜란이 일어나자 사명대사유정이 왜군에 맞서기 위해 승병 훈련장으로 이용하였다. 당시 사명대사가 이끄는 승병과 의병장 우배순이 거느린 의병의 수가 3천 명에 달하였다고 한다. 그러나 결국 왜군에게 점령되고 화재로 소실된 후 1653년에 인혜에 의해 중건되었다. 1767년 모계와 풍흡이 중창하여 팔공산 동화사 부근 북지장사와 대칭되는 곳에 있는 절이라하여 절 이름을 남지장사로 변경된 것으로 전해지며 이전 절 이름은 전하지 않고 있다. 남지장사 대웅전 앞에 모계, 운계, 경운의 송덕비가 있으며, 부속암자로는 청련암과 백련암이 있다.",,대구광역시 달성군 가창면 남지장사길 127,가능,,,,,,,,,,연중무휴,,,국가유산청 https://www.heritage.go.kr/,상시 개방,대구광역시 유형문화유산 남지장사 청련암 (1995.05.12. 지정),무료,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진주강씨모열각,"진주강씨모열각은 기세기 석씨 문중 며느리인 진주 강씨의 열행을 표창하여 건립한 비각이다. 은열공의 맏딸인 강씨부인이 기세리에 시집을 갔는데 출가한지 한 달 만에 남편을 잃게 된 그녀는 남편과 합장해달라는 유언을 남기고 스스로 목숨을 끊었다. 그러나, 집안사람들이 유언을 따르지 않고 가례에 따라 장례를 별장으로 치렀는데 이후 갑작스레 집의 대들보가 내려않고, 솥이 깨지고, 마을의 가축들이 까닭 없이 죽어가고, 해마다 극심한 가뭄이 들어 농사를 망치는 등 기이한 일들이 연이어졌다. 마을 사람들은 이 지변이 강씨 부인의 소원을 들어주지 않은 때문이라 단정하고 별장한 묘를 합장한 후 성대히 제사를 지내주었는데 이상하게도 산 중턱에 서리가 어린 구름이 감돌더니 단비가 쏟아져 풍년을 맞이하게 되었다. 이에 마을 사람들과 문중에서 1945년 기세리 입구에 열녀비를 세우고 해마다 제사를 지내며 강씨의 열행을 기리고 있다. 모열각 내부 중앙에 '열부진양강씨실행비'가 있고 사방 벽면에 서열부진양강씨창문, 열부강씨실기서, 모열각기, 열부진양강씨비명병서, 강씨열행기, 모열각상량문 등 현판이 걸려 있다. 모열각은 1922년 오륜행실중간소의 공인을 받아 세워졌으며 지금의 모열각은 1979년 중수한 것이다.",,대구광역시 달성군 옥포면 옥포로 305,불가능,,,,,,,,,,연중무휴,,,,상시 개방,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구 구암동 고분군,"대구 구암동 고분군은 팔거평야가 한눈에 바라보이는 대구 북구의 함지산 서쪽 능선에 대규모로 조성되어 있다. 구릉의 능선 위에는 약 360기의 봉분이 존재하며, 나머지는 경사면을 따라 소형 봉분들이 촘촘하게 분포하고 있어 총 379기가 분포하고 있다. 신라시대 칠곡지역의 수장층 무덤으로 대구에서 가장 규모가 큰 고분군이며, ‘적석석곽분’이라는 내부구조는 신라와 가야의 고분군에서 확인되지 않는 특이한 구조이다. 대구 구암동 고분군 탐방안내소가 위치해 있어 고분군을 더 깊이 이해할 수 있다.",,대구광역시 북구 구암동 456,불가능,,,,,,,,,,매주 월요일 / 1월 1일 / 설·추석 연휴,,,https://www.buk.daegu.kr/tour/,"10:00~17:00
※ 자세한 사항은 전화문의 요망",사적 대구 구암동 고분군 (2018.08.07. 지정),무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노사평화의 전당,"전국 유일의 노사상생 협력 모델로 2021년 11월 12일에 개관한 노사평화의 전당은 노사상생을 위한 교육, 연구시설이자 시민들을 위한 복합 문화향유 공간이다. ‘노동을 알기 쉽게, 노사관계를 올바르게’라는 슬로건으로 남녀노소 누구에게나 친숙하게 다가감과 동시에 노동과 노사관계의 새로운 상생의 패러다임을 만들고자 건립되었고, 건물 내부는 야외 휴게시설과 상설전시, 기획전시, 문화공간, 교육공간으로 이루어져 있다.",,대구광역시 달성군 구지면 국가산단대로52길 6,가능,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(자동문),,,매주 월요일 / 1월 1일 / 명절,,,https://lmh.daegu.go.kr/,10:00~18:00 (입장마감 17:30),,,,장애인 화장실 있음,,,무료,무료,,장애인 주차장 있음(3대)_무장애 편의시설,,,,엘리베이터 있음,,,,,"대지면적 16,500㎡",,,,,,,,,,,,,,,,
달성 조길방 고택,"달성 조길방 고택은 원래 대구 동촌 비행장 근처에 살던 현 소유자의 10대조가 조선 중기 난리를 피하여 달성군 가창면 정대리로 들어와 정착하면서 지은 초가집이다. 경사가 급한 산기슭에 자리한 한덤마을에 있다. 1784년에 건립한 함안 조씨가 살았던 집으로 안채는 정착 당시 건립한 건물이며, 사랑채와 아래채, 부속채는 후에 다시 지은 건물이다. 안채 종도리 하부에 '성상 재위 구년 갑진 이월 십구 일 묘시 견주 미시 상량'이라는 묵서명이 있어 정확한 건립 연대를 알 수 있다. 안채를 중심으로 좌·우측에 사랑채와 아래채가 위치하여 전체적으로 'ㄷ자' 형태이다. 달성 조길방 고택은 삼량 구조로 결구 된 초가로, 초가에서는 보기 드물게 안채의 마루 정면에 원기둥을 사용하여 대량과 원초적인 상투걸이 수법으로 결구 되었으며, 특히 안채의 창호 규모와 성격은 주택 발달사 연구에 중요한 자료이다.",,대구광역시 달성군 가창면 정대리,가능,,,,,,,,,,연중무휴,,,https://www.heritage.go.kr/,상시 개방,국가민속문화유산 달성 조길방 고택 (1984.12.24. 지정),무료,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
패션주얼리전문타운,"타운이 위치한 곳은 대구광역시 중구 패션 주얼리 특구거리이다. 예로부터 이 거리는 대구 중구 교동시장 근처에서 금, 은세공 가게가 밀집하여 성업하던 지역이다. 패션주얼리타운은 전국에서 유일하게 주얼리 제조, 전시, 판매가 동시에 이루어지는 종합타운이며 지역 주얼리 사업의 발전과 소공인의 자립을 돕는 곳이다. 소상공인들을 위한 공동 인프라 사업, 주얼리 플랫폼 구축 연구·개발 등을 하고 있으며 국제 주얼리 박람회를 비롯한 문화행사, 축제 등을 개최하여 홍보 활성화를 기하고 있다. 또 타운에서는 문화강좌, 체험교실, 전시관 등 다양한 프로그램도 경험할 수 있다. 타운이 위치한 주얼리 거리는 보석 데이트길로도 알려져 있으며 해마다 거리에서 색다른 테마를 가지고 축제도 개최하고 있어 타운에서 공예체험뿐 아니라 문화축제 등 재미있고 색다른 경혐이 될 수 있는 거리이고 장소이다.",,대구광역시 중구 경상감영길 176 (동문동),가능,,,,,,"출입구까지 턱이 없어 휠체어 접근 가능함(수동문,자동문)",주출입구는 턱이 없어 휠체어 접근 가능함,오랜만에 방문한 대구인데 교동이 아주 많이 바뀌었더라구요! 예쁜 카페와 밥집도 많았고 가챠샵도 있어서 즐거웠습니다,,매주 화요일,,,http://www.jtown.or.kr,10:30~19:30,,,,장애인 화장실 있음(1층),,,,무료 (체험 프로그램은 재료비 본인 부담),,장애인 주차장 있음(지하2층)_무장애 편의시설,,,,엘리베이터 있음,,,,,,,,,은반지 만들기 / 3D프린터 / 3D펜 / 주얼리 아카데미 등,,,,,,,,,,,,
