,place,info,문의 및 안내,홈페이지,주소,이용시간,이용요금,체험프로그램,review,휴일,주차,입장료,화장실,이용가능시설,주차요금,접근로,출입통로,보조견 동반,체험 프로그램,체험가능 연령,주차 요금,수용인원,할인 정보,시설이용료,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,부대시설,사우나실 여부,규모,캠프파이어 여부,바비큐장여부,장애인 주차 안내,엘리베이터,점자 블록,수유실,"영유아가족
기타상세",휠체어,매표소,영업시간,대표메뉴,취급메뉴,세미나실 여부,스포츠 시설 여부,자전거 대여 여부,객실,공용 PC실 여부,지체장애 기타 상세,청각 장애 기타상세,시각장애 기타상세,안내 요원,주요시설,보유장비,대중 교통,지정현황,이용 시기,코스안내,점자 홍보물,유아용보조의자,판매 품목,좌석수,입점브랜드,휘트니스 센터 여부,노래방 여부,유모차,청각장애용 객실,관람석,대여안내,뷰티시설여부,유도안내 설비
316,정현횟집,"정현횟집은 여수시 돌산읍 평사리에 있는 노포 감성이 물씬 풍기는 생선회 식당이다. 실내는 입식 테이블이 있는 홀과 좌식 테이블이 있는 룸으로 되어 있고 여수 앞바다가 바로 보이는 오션뷰 횟집으로 지역 주민들뿐만 아니라 여수를 방문하는 여행객들 사이에서도 유명하다. 로컬 맛집답게 택시 기사들도 적극 추천하는 식당이다. 바닷가에 있는 횟집인 만큼 메인 메뉴뿐 아니라, 반찬 하나하나가 모두 신선하다. 가게 뒤편에는 넓은 전용 주차장이 있어 주차 걱정 없이 방문할 수 있다. 여수 예술랜드, 한우드림 동물체험장 등이 주변에 있어 연계 관광도 즐길 수 있다.",,,전라남도 여수시 계동해안길 39-7,,,,,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00 ~ 21:00,사시미,매운탕 / 전복 / 낙지 / 해삼 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,산수유 자연휴양림,"전라남도 구례군에 위치한 산수유 자연휴양림은 숲속수목가옥으로 독채 1층짜리 숙소이다. 기준시설은 4인이며 거실 겸 방1, 화장실1, 테라스1이 구비되어 있다. 산장 앞에 저수지가 보이고, 공기 좋고 광해가 없어 밤하늘의 별을 감상하기도 좋은 공간이다. 가족과 함께 힐링하며 추억을 쌓기 좋은 공간이다.",,https://www.foresttrip.go.kr,전라남도 구례군 산동면 정산길 251,입실 14:00 / 퇴실 11:00,,,,연중무휴,가능,"[숲속의집]
(비수기 주중) 100,000~200,000원
(비수기 주말) 120,000~230,000원
(성수기) 140,000~250,000원
[산림휴양관]
(비수기 주중) 50,000~70,000원
(비수기 주말 및 성수기) 70,000~90,000원
[야영장]
(비수기 주중) 15,000원
(비수기 주말) 18,000원
(성수기) 20,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,진미회관,"진미회관은 세월의 흔적이 묻어 있는 노포 감성의 여수 식당으로 갈치구이 맛집이다. 입구에 들어서면 왼편에 오픈 주방이 있고, 홀에는 테이블만 몇 개 놓여 있는 소규모 식당이다. 하지만 갈치 요리만큼은 소문이 자자한 곳으로 대표 메뉴는 갈치구이와 진하게 우려낸 국물에 칼칼한 양념으로 맛을 낸 갈치 조림이다. 그 밖에 토종닭백숙, 쏨뱅이 매운탕도 맛볼 수 있다. 남도 맛집답게 정갈하게 차려진 반찬은 푸짐하고 다양해서 시골 밥상이나 집밥 감성을 느낄 수 있다. 여수 예술랜드, 돌산공원 등이 주변에 있어 연계 관광하기 수월하다.",,,전라남도 여수시 돌산로 3112,,,,,없음 (명절 휴무),있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"매일 10:00 ~ 19:30 (브레이크타임 15:00 ~ 17:00)
※ 매일 영업시간 변동 가능성 있으므로 방문 전 전화 문의 요망",갈치구이,"토종닭백숙, 갈치조림, 쏨뱅이매운탕 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,지리산 생태탐방원,"전라남도 구례군에 위치한 지리산 생태탐방원은 지리산 반달곰을 만날 수 있는 체험을 할 수 있을 뿐만 아니라, 입구에 계곡이 흐르고 있어 여름철 발 담그기 좋고, 물소리와 새소리를 들으며 자연과 어우러질 수 있는 공간이다. 다리를 건너면 국립공원 야생생물보전원이 있다. 이와 같이 가족과 함께 힐링하기 좋은 숙소이다.",,https://res.knps.or.kr/eco,전라남도 구례군 마산면 화엄사로 402-25 마산면 황전리 41,입실 15:00 / 퇴실 11:00,,,,연중무휴,가능,"※ 1박 기준
A타입 60,000원
B타입 90,000원
C타입 120,000원
자연의집 45,000원",,,,,,,"[천년고찰, 화엄사 문화산책]
[자연 Talk, 힐링 Talk ※반달가슴곰 생태체험]
[보물 찾GO! 힐링 하GO!(챗봇 탐방)]
3시간(청소년 이하 3,600원, 성인 4,900원)
6시간(청소년 이하 7,100원, 성인 9,800원)
1박2일(청소년 이하 14,200원, 성인 19,500원)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,돌산백반,"돌산백반은 여수시 돌산읍 우두리에 있는 한식당이다. 6개 정도의 테이블만 있는 규모가 작은 식당이지만 여수 맛집답게 문전성시를 이루는 백반집이다. 별도의 주차장이 없어 주차는 갓길에 하면 된다. 대표 메뉴는 돌산백반과 갈치조림, 돌게정식이고 그 외에도 생선구이, 매운탕, 코다리정식, 제육볶음백반, 삼겹살 등이 있다. 특히 돌산백반은 매일 다른 9가지 반찬이 푸짐하게 나온다. 생선구이는 2인분부터 주문이 가능하고 생선구이를 시키면 간장 돌게장과 양념 돌게장이 함께 나와 가성비가 좋다. 06시 30분에 영업을 시작해 아침 식사하기에도 좋고 갓김치와 게장은 별도 구매도 가능하다. 여수 예술랜드, 돌산공원 등이 주변에 있어 연계 관광하기 수월하다.",,http://instagram.com/dolsan_mom_table,전라남도 여수시 강남8길 13 1층,,,,,매주 일요일,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06:30~20:00 (브레이크타임 15:00~17:00 / 라스트오더 19:00)
※ 병원, 시장, 은행 갈 경우 잠시 자리 비울 때 있음",갈치조림 정식,생선구이 / 돌게정식 / 꽃게탕 / 제육백반/ 백반 / 갈치조림 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,드론스포츠코리아,"전남 고흥군 금산면에 있는 드론스포츠코리아는 넓은 금산종합고등학교 부지를 활용하여 드론과 캠핑을 테마로 재구성하여 탄생했다. 폐교를 새 단장한 만큼 소박함과 정겨움은 그대로 살리고 편의시설은 모던하게 바꾸어 놓아 깔끔하다. 드론캠핑장은 야영장으로서의 절대적인 뷰는 부족하지만 넓고 조용한 캠핑을 원한다면 최적의 장소이다. 또한 드론핑을 자유롭게 해볼 수 있어 드론스포츠의 모든 것을 즐길 수는 야영장으로 즐겁게 각자의 취미생활을 즐길 수 있다는 것이 가장 큰 장점이다. 금진항이 가까이 있어 바닷가 드라이브를 겸한 연계 관광하기도 좋다.
※ 반려동물 동반 가능",,https://blog.naver.com/dronesportskorea,전라남도 고흥군 돈청길 25-17 금산종합고등학교,예약 시 문의,"20,000~60,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,있음,,,,,,,,,,,,,,,,,,,,물놀이장마트놀이터운동장,,,,,,,,,,,,,,,,,,,,,,,,"주요시설 : 자동차 야영장 24 안전시설 : 소화기 9, 화재감지기 6",,,,,,,,,,,,,,,,,,
322,림스캠핑&글램핑,"정원과 함께 힐링할 수 있는 림스 글램핑은 전라남도에서 주최한 예쁜 정원 콘테스트에서 최우수상을 수상한 림스가든 안에 자리하고 있어 동화 속 같은 아름다운 정원에서 감성 글램핑을 즐길 수 있다. 아늑한 글램핑 내부 인테리어와 아이들이 신나게 물놀이할 수 있는 수영장과 트램펄린, 산책 코스까지 완벽한 편의 시설을 자랑한다. 또한 모든 객실은 세스코 관리를 받고 있어 더욱 믿을만하다. 숯, 장작 등 개인 화기 사용은 불가하며 15kg 이하의 반려견은 동반 가능하다. 근처에 월출산과 가우도는 함께 둘러보기 좋은 관광 명소이다.",,http://xn--bj0b46pttbu9pcqx.kr/html/home.php,전라남도 강진군 해강로 1038-30,15:00~20:00 / 익일11:00,요일 및 시즌에 따라 이용요금 상이하므로 홈페이지 참조 요망,,,,,,있음,,,,,,,,,,,,,,,,,,,,"트렘폴린, 물놀이장, 놀이터",,,,,,,,,,,,,,,,,,,,,,,,"주요시설 : 일반야영장 3, 자동차 야영장 3, 글램핑 14, 카라반3 안전시설 : 소화기 25, 방화수 2, 방화사 2, 화재감지기 1",,,,,,,,,,,,,,,,,,
323,땡땡이글램핑,"전남 최대 규모의 산책로와 수영장이 있는 땡땡이글램핑은 전객실 반려견 동반이 가능하다. 로얄과 디럭스, 반려견글램핑과 일반글램핑으로 나누어져 있어 반려견 동반 캠퍼는 물론이고 반려견이 없어도 편하게 즐길 수 있다. 장흥 정남진수목원 안에 자리하고 있어 반려견과 함께 자연친화적인 공간에서 산책하기 좋다. 깔끔한 객실 내부에는 옷걸이, 전자레인지, 커피포트, 냉장고, 화장대, 좌식 테이블, 에어컨, 드라이기, 수건 등이 마련되어 있으며 초대형 야외 수영장은 9월 말까지 미온수로 운영된다. 또한 가까운 곳에 정남진전망대와 할미꽃 한재공원이 있어 연계 관광하기 좋다.
※ 반려견 동반 가능",,,전라남도 장흥군 천관산문학길 30,15:00~익일 11:00,"90,000원~200,000원 *이용요금은 예약 시 문의",,,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,주요시설 : 글램핑 시설 10 안전시설 : 소화기11,,,,,,,,,,,,,,,,,,
324,낭도야영장,"저녁노을이 아름다운 낭만의 섬 낭도에 있는 낭도 야영장은 여수 여객선 터미널에서 낭도항까지 배편으로 2시간이 소요된다. 낭도 해변에 자리하고 있어 그야말로 오션뷰 캠핑장이다. 해안선 둘레길과 신선대, 주상절리까지 바다를 끼고 멋진 자연 풍경이 파노라마처럼 펼쳐지니 섬을 한 바퀴 돌아 볼 수 있는 트레킹을 야영 전후에 추천한다. 여름밤에는 반딧불이도 볼 수 있으며 나로우주발사전망대와 짚라인, 공룡화석 등 주변에서 다양한 체험 활동도 가능하다. 또한 팔영산 국립공원도 함께 둘러보기 좋은 관광 명소이다.
※ 반려견 동반 가능(소형견만 가능)",,,전라남도 여수시 여산길 150 여천낭도중학교,13:00~익일 11:00,"40,000원~
※이용요금은 변동 가능성 있으므로 예약 시 문의",,유명 관광지보다 덜 알려져 있어 상대적으로 한적하며 조용한 캠핑을 즐기가에 아주 좋아요~ 과거에는 배를 타고 가야 했지만 여수와 낭도를 연결하는 연륙고가 개통되면서 차량이동이 가능해져 꼭 추천드려요,,,,있음,,,,,,,,,,,,,,,,,,,,"놀이터, 운동장",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,개랭이 오토캠핑장,"황토방과 글램핑이 가능한 개랭이 오토캠핑장은 제석산과 오봉산 사이 골짜기에 자리하고 있다. 전형적인 산골 마을이 농촌 체험마을로 바뀌면서 캠핑장도 함께 운영 중이다. 총 7개 데크 사이트와 화장실, 개수대, 샤워실 온수를 사용할 수 있으며 매점은 없다. 황토방은 황토 찜질 체험을 하며 숙박도 할 수 있다. 소규모 캠핑장이라 사람이 많지 않은 장점이 있고 번잡하지 않고 조용히 놀다 가기 좋다. 근처에 있는 낙안읍성과 순천만국가정원은 함께 둘러보기 좋은 관광 명소이다.",,,전라남도 순천시 흑가길 6-1,14:00~익일 12:00,"- 오토캠핑장 데크 40,000원
- 글램핑 저스트인 하우스 100,000원
※ 이용요금은 변동될 수 있으므로 자세한 사항은 전화 문의",,,,가능,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,야영장 / 글램핑장,,,,,,,,,,,,,,,,,,
326,보성 지중해 야영장,"오션뷰가 환상적인 보성 지중해 야영장은 펜션과 캠핑장 두 가지 모두 가능해 두 팀이 동시에 즐길 수 있는 게 가장 큰 장점이다. 모든 사이트에서 최고의 바다뷰를 만끽하며 캠핑을 즐길 수 있고 해변 산책로가 곳곳에 있어 구경거리가 많다. 또한 식물원, 인공폭포, 수영장 등은 체험학습장을 온 듯 다채롭다. 보성 지중해 야영장은 화재 위험으로 화롯대, 장작 등은 사용이 금지되어 있으며 반려견 동반은 가능하다. TV프로그램 바퀴달린집 촬영지로 유명하며 비봉 공룡알 화석지가 인접해 있어 함께 둘러보기 좋다.
※ 반려견 동반 가능(소형견만 가능)",,http://www.jijunghae.com/index.php,전라남도 보성군 공룡로 206-42,,*이용요금은 예약 시 문의,,,,가능,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,미락식당,"완도의 현지인 추천 맛집인 미락식당은 넓은 식당 내부와 깔끔한 현대식 인테리어가 돋보인다.
식당 한편에 보이는 오픈 주방은 30여 년을 넘게 지켜온 맛의 신뢰감을 상징하는 듯하다. 대표메뉴는 아귀찜으로 부드러운 식감과 쫄깃한 맛이 일품이다. 매콤하고 칼칼하게 들어오는 아귀찜의 맛을 음미하고 나면 볶음밥은 필수다. 이 외에 복찜, 복지리, 복매운탕, 아귀탕, 오리탕도 맛볼 수 있다.",,,전라남도 완도군 군내11번길 15,,,,,매주 일요일 (전화 문의),"가능
요금 (무료)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~21:00,아귀찜,복찜 / 복지리 / 복매운탕 / 아귀탕 / 오리탕,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,신지횟집,"전복 코스요리 전문점인 신지횟집은 완도 전복거리에 있다. 넓은 실내로 북적이는 느낌 없이 여유로운 식사를 즐길 수 있다. 메뉴는 전복 코스요리와 돔, 농어, 우럭, 광어 등의 회가 있다. 주문과 동시에 낙지호롱이, 조기구이, 해삼, 멍게 등 싱싱한 바다의 맛을 가득 품은 풍성한 밑반찬이 차려지는데 바다의 맛을 그대로 느낄 수 있다. 신지횟집의 메인메뉴인 전복 코스요리는 참기름 장에 찍어 먹으면 씹히는 맛이 일품인 전복회, 전복을 통째로 구워내는 전복구이, 큼직하게 썬 전복과 채소를 볶아 나오는 전복유산슬, 직접 만든 양념으로 맛을 낸 전복물회, 마지막으로 고소하고 부드러운 맛의 전복죽을 먹고 나면 깔끔하게 마무리된다. 국내 최초의 노래하는 등대인 완도 씨월드 방파제도 가까운 곳에 있어서 식후에 산책하기 좋다.
※ 반려동물 동반 불가",,,전라남도 완도군 해변공원로 117,,,,,비정기적 휴일 (전화 문의 필수),없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~21:00 (라스트 오더 20:00),전복코스요리,"전복코스요리, 돔회, 농어회, 우럭회, 광어회",,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,카페더비치,"카페 더 비치는 완도 여행의 중심지인 해조류 박람회장 근처, 완도 해변공원 쪽 중앙에 있다. 야자수와 파라솔이 있는 푸른 바다 해변, 모래사장에 있는듯한 인테리어가 인상적이다. 화이트 톤의 벽과 널따란 실내는 바다가 보이는 창과 어우러져 해변에서 차 한잔하는 것 같은 감성을 느끼게 해준다. 낮에도 아름답지만, 완도타워와 신지대교의 조명이 보이는 야경도 아름답다. 알로하 에이드, 선샤인 에이드 등 음료와 바삭한 토스트 위에 전복을 올려 구운 전복 토스트가 추천 메뉴이다. 반려동물과 함께 할 수도 있고, 3층의 전망도 즐길 수 있는 카페 더 비치는 저녁에는 펍으로 운영된다. 주차는 해변공원 주차장을 이용하면 된다.
※ 반려동물 동반 가능",,https://www.instagram.com/cafe_thebeach/,전라남도 완도군 해변공원로 59 3층,,,,,연중무휴,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00~22:00,"알로하에이드, 전복토스트","아메리카노, 알로하에이드, 전복토스트, 베이글, 돌체라떼, 션샤인에이드",,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,무안 낙지공원 노을길야영장,"노을길 야영장은 전남 무안군 망운면 송현리 소재 무안낙지공원 내에 자리 잡았다. 무안군청을 기점으로 15km가량 떨어졌다. 자동차를 타고 조금나루길과 노을길을 번갈아 달리면 닿는다. 도착까지 걸리는 시간은 15분 안팎이다. 무안 앞바다의 풍광을 한눈에 담을 수 있는 캠핑장에는 데크로 이뤄진 일반캠핑 사이트 10면과 카라반 2대가 마련돼 있다. 데트 크기는 가로 9m 세로 6m 등 다양하다. 카라반 내부에는 침대, 취사도구, 화장실, 샤워장 등 일상생활이 가능할 정도의 시설이 갖춰져 있다. 텐트를 설치하거나 야영을 할 수 없지만 무료로 즐길 수 있는 피크닉장도 운영 중이다. 매일 오전 9시부터 오후 6시까지 누구나 이용할 수 있다. 주변에는 조금나루해수욕장이 있어 연계 여행에 나서기 수월하다.
※ 반려동물 동반 불가",,http://www.xn--wk0bq5di5yhpam4czq.kr/default/,전라남도 무안군 망운면 송현리 451-43,에약 시 문의,"25,000~90,000원
*이용요금은 예약 시 문의",,무인카페가 효율적이고 낙지전망대와 미끄럼틀이 인상적인 무안야경공원이자 야영장 예약취소는 어디서 하나요? 가까운 바다와 귀여운 낙지조형물 있어요!! 야영하기 좋아요 추천합니다^^,,,,있음,,,,,,,,,,,,,,,,,,,,"마트놀이터, 카페",,,,,,,,,,,,,,,,,,,,,,,,"주요시설 : 일반야영장 10, 카라반2 안전시설 : 소화기 12",,,,,,,,,,,,,,,,,,
331,곡성어린이도서관,"2024년 4월 12일 개관한 곡성군의 어린이도서관이다. 곡성군 곡성읍에 위치하고 있으며 곡성역과 가깝고 섬진강기차마을, 뚝방마켓 등 관광지와의 접근성이 좋다. 연면적 1,460㎡의 복합문화공간으로 1층은 영유아를 위한 어린이도서관, 2층은 초등학생과 청소년, 가족이 함께 이용할 수 있는 가족자료실과 어린이 프로그램실, 실감형 동화체험실, 주민 커뮤니티실, 다목적실로 조성되었다. 도서추천시스템, 셀프대출반납기, 365예약대출기, 모바일 도서관 등으로 편리한 도서관 서비스를 제공하고 있다.",,https://www.gokseong.go.kr/library,전라남도 곡성군 곡성읍 곡성로 903,09:00~18:00,무료,실감형 동화체험,,"매주 월요일, 법정공휴일 (일요일 제외)","가능 (소형 1대, 일반 28대, 장애인 4대)",,"장애인용 화장실 있음(1층 및 2층 복도, 남녀분리)",,,문턱 없이 평지로 연결되어 휠체어 통과 가능함,주출입구 휠체어 통과 가능(자동문+수동문),보조견 동반 가능,,,무료,160명,,,,,,,,,,,,,,,,장애인 전용 별도 주차칸 있음(4칸),"엘리베이터 있음(장애인용, 휠체어 1대 크키)",점자블록 있음(엘리베이터 앞),수유실 있음(1층),,,,,,,,,,,,,청각장애인용 휴대용 무선 소리 증폭 청취기기,,"안내데스크 있음(1층 로비)
안내 직원 상주",,,,,,,점자촉지도 있음,,,,,,,,,장애인 편의 좌석 있음(2층 자료실 1석),,,
332,나루터,"압록유원지에서 구례 방향 2km 거리에 있는 참게 수제비 맛집으로 2TV 생생정보통에 소개된 바 있다. 한적한 도로변에 있어 찾기 쉬우며 넓은 주차장을 갖추고 있다. 현지 주민들뿐만 아니라 곡성 여행객들에게도 맛집으로 소문난 만큼 늘 손님들로 문전성시를 이룬다. 참게 요리는 생참게를 통째로 쪄서 체에 걸러내 만들기 때문에 참게 본연의 향과 맛을 느낄 수 있다. 참게 외에도 쏘가리, 메기, 은어, 다슬기 등의 다양한 요리도 맛볼 수 있다. 압록유원지, 곡성군 하늘나리 마을 등이 주변에 있어 연계 관광이 수월하다.",,,전라남도 곡성군 하한길 3,,,,,연중무휴,가능,,,,,주 출입구 경사로 가파름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00 ~ 20:00,"참게수제비, 은어튀김","참게탕, 쏘가리탕, 메기탕, 은어조림, 다슬기탕 등",,,,,,의자식 테이블,,,,,,,,,,,아기의자 2개,,,,,,,,,,,
333,미연복집 본점,"1990년부터 이어온 오랜 복요리 명가로 주차장부터 넓어 편리하게 이용할 수 있다. 가게 내부는 테이블들이 입식으로 정갈하게 구비되어 있고 버너가 테이블에 빌트인 되어 있어 탕 종류를 시키면 끝까지 따뜻하게 즐길 수 있다. 전반적으로 고즈넉하고 깔끔한 인테리어로 편안하게 식사를 즐길 수 있다. 룸도 마련되어 있어, 프라이빗 한 식사도 즐길 수 있다. 복탕을 주문하면 첫 번째로 새콤달콤한 복 샐러드가 나오는데 쫄깃쫄깃한 복어껍질이 입맛을 돋운다. 연포탕 비슷한 국물에 콩나물, 미나리, 쑥갓, 무 등의 야채가 국물을 더욱 시원하게 한다. 가곡리 5층 석탑, 로뎀 자연수련원 등이 주변에 있어 연계 관광하기 수월하다.",,,전라남도 곡성군 오산로 968,,,,,"연중무휴 (단, 명절연휴 휴무 가능, 유선 확인 필요)",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30~21:00,"복탕, 복지리, 복찜","아구찜, 복튀김 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,송다원,"옥과 IC에서 5분 거리에 있는 송다원은 닭, 오리 능이백숙 삼계탕 전문점이다. 전통 정자가 맞이하는 이곳은 한옥 지붕 양식으로 지은 2층 건물로 넓은 주차장에 높게 자란 소나무들이 멋진 전경을 더한다. 실내와 외부에 각각 넓은 입식 테이블을 비롯하여 2층에는 연회장과 객실이 있어 단체 방문 및 MT까지도 가능하다. 능이 삼계탕은 오가피, 엄나무, 황기, 작약, 두충, 당귀, 숙지황 등 한약재가 20가지 들어가 있다. 곡성생태체험관, 무창체험마을 등이 주변에 있어 연계 관광하기 수월하다.",,,전라남도 곡성군 가곡길 129-1,,,,,연중무휴,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30~21:00 (라스트 오더 20:00),"능이버섯삼계탕, 오리능이백숙","능이버섯만두, 능이죽",,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,청솔가든,"곡성 보성강이 내려다보이는 강가에 있는 한식당 청솔가든은 허영만의 만화 식객 '은어 요리' 편에 등장한 곳이다. 섬진강과 보성강에서 잡은 은어와 참게로 만든 은어회, 은어구이, 은어 튀김, 참게탕 등이 인기 메뉴다. 은어 요리는 날씨가 풀리는 4월경부터 맛볼 수 있다. 2층의 저택 같은 외관 안으로 들어가면 비밀스럽고 천장이 낮은 통로가 나온다. 이 비밀통로를 지나면 보성강이 한눈에 펼쳐진다. 탁 트인 시야에 야외 테이블이 90%이고 식당 내부에서도 자리가 많아 원하는 자리에 앉을 수 있다. 참게탕은 참게살을 일일이 발라 수제비를 끓이기 때문에 준비 시간이 필요해 예약이 필수다.",,,전라남도 곡성군 대황강로 1560,,,,,연중무휴,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30~19:00 (15:00~16:30 브레이크타임),"은어튀김, 참게탕","메기탕, 참게수제비 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,푸른산장,백운산 4대 계곡 중 가장 큰 규모를 자랑하는 옥룡계곡 옆에 있는 식당이다. 닭 숯불고기와 흑염소 떡갈비가 이 집의 대표 메뉴다. 닭 숯불고기는 직화로 굽는 방식으로 숯의 은은한 향이 밴 닭고기의 감칠맛을 느낄 수 있다. 산장 주변에 계곡이 있어 여름에는 밖에서 시원한 계곡을 바라보며 식사를 즐길 수 있다. 족구장 및 노래방 시설을 갖추고 있으며 계곡에 단체 모임을 할 수 있는 단체석이 마련되어 있다. 주변에 억불봉 코스의 등산로와 백운사를 경유하는 유명한 등산로가 있어 등반객들이 즐겨 찾는다.,,http://poornsan.kr/,전라남도 광양시 신재로 1317,,,,,비정기 휴무,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00 ~ 20:00,"닭숯불고기, 흑염소떡갈비","닭백숙, 흑염소수육, 닭볶음탕, 아침백반 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,구례역대합실,"구례구역에서 걸어서 5분 거리에 있는 카페로 식당과 펍을 함께 운영하고 있다. KTX 이용객들이 잠시 들러 식사나 차를 즐기기 좋다. 빨간 벽돌 건물의 외관이 이국적이며 실내 공간이 널찍하고, 창가 자리에서는 강변을 바라볼 수도 있다. 다양한 요리와 음료 그리고 빵이 마련되어 있어, 남녀노소 누구나 편하게 방문할 수 있다. 특히 어린아이를 데리고 방문하기에도 불편함 없다. 사진 맛집으로 알려진 만큼 SNS에도 많이 소개되었고, 방문객 중에서도 열심히 사진을 찍는 손님들을 심심찮게 볼 수 있다. 곡성섬진강천문대, 섬진강 대나무 숲길 등이 주변에 있어 연계 관광하기 수월하다.
※ 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)",,https://www.instagram.com/gurye_station,전라남도 구례군 섬진강로 23,,,,,연중무휴,가능,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~20:00 (주중 브레이크타임 14:30~17:30 / 라스트오더 19:30),안심돈까스,다슬기오일파스타 / 버섯크림리조또 / 국물떡볶이 등,,,,,,의자식 테이블 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,
338,백련산방,"구례읍 5일 시장 내에 있는 한식당이다. 예약제로 운영되며 손님이 많아 재료 소진 시 영업시간보다 일찍 문을 닫을 수 있으니, 방문 전 전화 예약이 필수다. 주차장이 넓어 방문하기 편리하다. TV 프로그램 생방송오늘저녁에 소개된 바 있다. 과거에는 사찰음식 전문점이었던 곳인 만큼 건강한 밥상을 선보인다. 이 집의 대표 메뉴인 백련산방 정식을 주문하면, 10여 가지 반찬과 석쇠불고기, 생선구이, 재첩국 세 가지 메인 메뉴가 한 상 가득 차려진다. 곡성섬진강천문대, 섬진강 대나무 숲길 등이 주변에 있어 연계 관광하기 수월하다.",,,전라남도 구례군 5일시장작은길 20 5일시장,,,,,"매달 4, 9일 (4, 9, 14, 19, 24, 29)",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00~22:00,백련산방정식,"생선구이, 추어탕, 석쇠불고기 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,금정농협 한우프라자,"금정농협에서 직영으로 운영하는 한우 전문점이다. 건물 전체가 한우 판매장과 식당으로 단체 모임을 하기 좋고 주차장이 넓어 차량을 갖고 방문하기에도 편리하다. 4~8인 룸을 갖추고 있으며 홀도 상당히 넓어 가족 모임이나 회식 장소로도 널리 활용되고 있다. 피크 타임에는 웨이팅이 있을 수도 있다. 구이 요리뿐만 아니라 식사, 후식 메뉴도 마련되어 있다. 뱅뱅이골기찬랜드, 6.25 희생자위령탑 등이 주변에 있어 연계 관광하기 수월하다.",,,전라남도 영암군 영나로 915,,,,,연중무휴,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00 ~ 21:00,한우생고기,"한우육회, 한우갈비탕, 버섯불고기 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,
